Sl.No,State_Name,Crop_Year,Area(m^2),X1,X2,X3,X4,Yield (kg)
248,Haryana,2002,69245,222000,222000,272.538,441.285,130000
249,Haryana,2005,96708,201000,218000,813.4,634.7,258000
250,Haryana,2006,93719,258000,201000,382.2,813.4,248000
251,Haryana,2007,95256,248000,258000,557.2,382.2,249000
252,Haryana,2010,113883,296000,250000,543.6,406.8,284000
253,Haryana,1999,162873,349000,434000,298.645,500.818,364000
254,Haryana,2000,164224,364000,349000,487.535,298.645,391000
255,Haryana,2001,160911,391000,364000,446.119,487.535,402000
256,Haryana,2002,170163,402000,391000,316.161,446.119,444000
257,Haryana,2000,157949,447000,357000,571.342,347.752,444000
258,Haryana,2002,159111,494000,444000,385.94,487.034,426000
259,Haryana,2005,169130,567000,499000,562.5,630.3,521000
260,Haryana,2006,166200,521000,567000,340,562.5,553000
261,Haryana,2007,167149,553000,521000,731.7,340,610000
262,Haryana,2008,169034,610000,553000,613.6,731.7,465000
263,Haryana,2001,111396,357000,335000,462.622,562.439,367000
264,Haryana,2002,106928,367000,357000,418.19,462.622,371000
265,Haryana,2007,114536,440000,416000,355,241.8,460000
266,Haryana,2010,119783,453000,408000,458.6,252.4,383000
267,Haryana,1999,6384,16000,16000,449.897,675.57,18000
268,Haryana,2000,6183,18000,16000,608.697,449.897,18000
269,Haryana,2001,6933,18000,18000,496.787,608.697,20000
270,Haryana,2010,9070,23000,24000,707.4,399.5,30000
271,Haryana,1999,70637,154000,169000,325.649,601.89,144000
272,Haryana,2000,77458,144000,154000,557.357,325.649,187000
273,Haryana,2002,64007,167000,187000,342.332,506.45,161000
274,Haryana,2005,70753,164000,164000,555.5,560.3,181000
275,Haryana,2007,73632,194000,181000,290.3,353,188000
276,Haryana,2002,343,3000,3000,257.762,531.747,0
277,Haryana,2005,621,3000,3000,628,416.8,3000
278,Haryana,2006,788,3000,3000,453.9,628,3000
279,Haryana,1999,28515,53000,29000,286.983,565.46,26000
280,Haryana,2002,7412,27000,36000,262.056,466.513,8000
281,Haryana,2005,18006,26000,21000,609.3,400.4,36000
282,Haryana,2006,20185,36000,26000,439.3,609.3,37000
283,Haryana,2007,23167,37000,36000,376.6,439.3,52000
284,Haryana,2008,38439,52000,37000,580.6,376.6,48000
285,Haryana,2009,35056,48000,52000,404.1,580.6,50000
286,Haryana,1999,44663,101000,107000,208.85,341.879,135000
287,Haryana,2000,39847,135000,101000,293.592,208.85,111000
288,Haryana,2001,37202,111000,135000,289.998,293.592,118000
289,Haryana,2005,46036,157000,156000,313.8,246.2,166000
290,Haryana,2006,46453,166000,157000,437.9,313.8,175000
291,Haryana,2007,48268,175000,166000,305.9,437.9,189000
292,Haryana,2008,57477,189000,175000,343.5,305.9,196000
293,Haryana,2010,61372,204000,196000,396.9,126.3,195000
294,Haryana,1999,77681,133000,130000,319.76,619.886,139000
295,Haryana,2001,78764,138000,139000,523.121,561.65,148000
296,Haryana,2002,43976,148000,138000,326.235,523.121,96000
297,Haryana,1999,54804,130000,168000,422.479,705.8,160000
298,Haryana,2000,55512,160000,130000,640.57,422.479,164000
299,Haryana,2001,53818,164000,160000,478.599,640.57,161000
300,Haryana,2005,59276,191000,172000,991.9,742.2,2.00E+05
301,Haryana,2006,59379,2.00E+05,191000,636.9,991.9,213000
302,Haryana,2008,71634,227000,213000,865.6,728.8,221000
303,Himachal Pradesh,2000,1859,2431,2584,608.132,527.369,2790
304,Himachal Pradesh,2001,1773,2790,2431,563.829,608.132,2389
305,Himachal Pradesh,2002,1526,2389,2790,620.135,563.829,675
306,Himachal Pradesh,2000,2594,3955,3878,613.755,752.861,3804
307,Himachal Pradesh,2001,2796,3804,3955,734.615,613.755,3959
308,Himachal Pradesh,2002,2806,3959,3804,806.666,734.615,4996
309,Himachal Pradesh,2005,2772,4193,4496,1004.4,890.3,4585
310,Himachal Pradesh,2006,2726,4585,4193,1219.1,1004.4,4031
311,Himachal Pradesh,2007,2706,4031,4585,533.4,1219.1,3345
312,Himachal Pradesh,2010,3506,3285,3345,1087.2,431.3,5767
313,Himachal Pradesh,2000,38334,53215,52148,620.671,661.748,56392
314,Himachal Pradesh,2002,37144,63082,56392,732.413,685.629,34219
315,Himachal Pradesh,2005,36961,48680,56121,1470.8,1343.9,50934
316,Himachal Pradesh,2006,38279,50934,48680,1766.6,1470.8,54148
317,Himachal Pradesh,2007,37121,54148,50934,1610,1766.6,53986
318,Himachal Pradesh,2008,36855,53986,54148,1805.3,1610,55836
319,Himachal Pradesh,2001,29,35,45,692.393,757.433,49
320,Himachal Pradesh,2002,31,49,35,920.927,692.393,32
321,Himachal Pradesh,2005,22,43,40,643.8,255.9,31
322,Himachal Pradesh,2007,13,44,31,628.5,333.6,20
323,Himachal Pradesh,2010,15,24,20,1069.8,572,25
324,Himachal Pradesh,2000,1507,2241,1965,726.989,761.979,2287
325,Himachal Pradesh,2001,1618,2287,2241,734.905,726.989,2417
326,Himachal Pradesh,2005,20276,25275,28981,1264.4,1170.1,29167
327,Himachal Pradesh,2006,19566,29167,25275,1265.2,1264.4,27068
328,Himachal Pradesh,2007,19469,27068,29167,1472.3,1265.2,25002
329,Himachal Pradesh,2008,20171,25002,27068,1300.5,1472.3,27410
330,Himachal Pradesh,2010,19481,27410,25002,1483.6,965.2,30528
331,Himachal Pradesh,2001,2368,2370,3333,669.002,757.303,2978
332,Himachal Pradesh,2002,3087,2978,2370,804.503,669.002,2636
333,Himachal Pradesh,2000,5974,8199,7682,696.152,527.635,9829
334,Himachal Pradesh,2001,5884,9829,8199,553.767,696.152,11236
335,Himachal Pradesh,2000,3552,6443,6165,623.919,507.006,7510
336,Himachal Pradesh,2001,3305,7510,6443,544.682,623.919,6156
337,Himachal Pradesh,2002,3377,6156,7510,605.577,544.682,5377
338,Himachal Pradesh,2005,4721,10401,7866,950.7,813.1,8283
339,Himachal Pradesh,2006,4634,8283,10401,974.6,950.7,10968
340,Himachal Pradesh,2008,4260,10126,10968,1492.1,1173.8,10565
341,Himachal Pradesh,2010,2094,10565,10126,1377.3,882.1,5166
342,Himachal Pradesh,2001,3248,5405,5851,571.525,570.485,7795
343,Himachal Pradesh,2002,2744,7795,5405,596.66,571.525,4205
344,Himachal Pradesh,2006,1976,3311,3572,1308.5,1217.4,4464
345,Himachal Pradesh,2008,1803,4651,4464,1471.5,1244.3,4029
346,Karnataka,2000,171,202,316,857.558,768.995,311
347,Karnataka,2001,171,311,202,607.528,857.558,411
348,Karnataka,2002,112,411,311,632.97,607.528,230
349,Karnataka,2001,63662,105237,119657,1134.703,1628.754,56350
350,Karnataka,2002,65854,56350,105237,1334.194,1134.703,37874
351,Karnataka,1999,47915,124945,96733,693.496,838.459,162081
352,Karnataka,2000,52654,162081,124945,787.626,693.496,172729
353,Karnataka,2001,54582,172729,162081,575.605,787.626,175813
354,Karnataka,2002,64289,175813,172729,574.325,575.605,215581
355,Karnataka,2005,61783,178111.08,190076,691.4,553.5,188994
356,Karnataka,2006,66354,188994,178111.08,528.3,691.4,204553
357,Karnataka,2007,76597,204553,188994,650.4,528.3,283719
358,Karnataka,2008,77958,283719,204553,542.2,650.4,283650.18
359,Karnataka,2010,88799,248380.11,283650.18,861.8,914.5,339376
360,Karnataka,1999,10023,5825,6109,686.066,956.216,8373
361,Karnataka,2000,11483,8373,5825,843.808,686.066,10428
362,Karnataka,2002,10083,9048,10428,622.438,731.11,5672
363,Karnataka,2005,7436,3495.56,3536,991.5,744.8,4059
364,Karnataka,2006,7077,4059,3495.56,878.3,991.5,4449
365,Karnataka,2007,6812,4449,4059,798.1,878.3,4223
